News Title,Press Name,link
"TV 보고 골프친 트럼프와 다르네... 바이든 출근전 산책, 7시 칼퇴",조선일보,./articles/CBMiTmh0dHBzOi8vd3d3LmNob3N1bi5jb20vaW50ZXJuYXRpb25hbC91cy8yMDIxLzAyLzE3L0k2NzNWRUNVQVpHM05JT0pCWFZXNEEyV0ZRL9IBXWh0dHBzOi8vd3d3LmNob3N1bi5jb20vaW50ZXJuYXRpb25hbC91cy8yMDIxLzAyLzE3L0k2NzNWRUNVQVpHM05JT0pCWFZXNEEyV0ZRLz9vdXRwdXRUeXBlPWFtcA?hl=ko&gl=KR&ceid=KR%3Ako
日 오늘부터 코로나 백신 접종...美 넉달 만에 신규 확진 최저치 / YTN,YTN news,./articles/CCAiC0ttLVZLUG1nRVFnmAEB?hl=ko&gl=KR&ceid=KR%3Ako
"‘변이'와 ‘변이'가 만났다, 독성 강한 수퍼 코로나 나오나",조선일보,./articles/CBMiTWh0dHBzOi8vd3d3LmNob3N1bi5jb20vZWNvbm9teS9zY2llbmNlLzIwMjEvMDIvMTcvNFVBSlFRSzJIUkc0Uk9VQ0tOUFhMUVVaQTQv0gFcaHR0cHM6Ly93d3cuY2hvc3VuLmNvbS9lY29ub215L3NjaWVuY2UvMjAyMS8wMi8xNy80VUFKUVFLMkhSRzRST1VDS05QWExRVVpBNC8_b3V0cHV0VHlwZT1hbXA?hl=ko&gl=KR&ceid=KR%3Ako
“현실판 원더우먼” 눈보라 속 트럭 밀어올린 英여성 [영상],국민일보,./articles/CBMiRmh0dHA6Ly9uZXdzLmttaWIuY28ua3IvYXJ0aWNsZS92aWV3LmFzcD9hcmNpZD0wMDE1NTM5MjQzJmNvZGU9NjExMzE2MTHSATFodHRwOi8vbS5rbWliLmNvLmtyL3ZpZXdfYW1wLmFzcD9hcmNpZD0wMDE1NTM5MjQz?hl=ko&gl=KR&ceid=KR%3Ako
美 텍사스 역대급 강추위..유전도 마비(종합),아시아경제,./articles/CBMiPGh0dHBzOi8vY20uYXNpYWUuY28ua3IvYXJ0aWNsZS93b3JsZC1hbGwvMjAyMTAyMTYxMTM0MTI4NzE3N9IBOWh0dHBzOi8vY20uYXNpYWUuY28ua3IvYW1wdmlldy5odG0_bm89MjAyMTAyMTYxMTM0MTI4NzE3Nw?hl=ko&gl=KR&ceid=KR%3Ako
“배에 바람 들어오더니 임신”... 인도네시아 여성 황당 주장,조선일보,./articles/CBMiUGh0dHBzOi8vd3d3LmNob3N1bi5jb20vaW50ZXJuYXRpb25hbC9hc2lhLzIwMjEvMDIvMTYvSE8yM0hGVENJQkRQN0ZNVzZLVlBCTURZQUEv0gFfaHR0cHM6Ly93d3cuY2hvc3VuLmNvbS9pbnRlcm5hdGlvbmFsL2FzaWEvMjAyMS8wMi8xNi9ITzIzSEZUQ0lCRFA3Rk1XNktWUEJNRFlBQS8_b3V0cHV0VHlwZT1hbXA?hl=ko&gl=KR&ceid=KR%3Ako
"이스라엘 임산부 코로나19 확진 뒤 태아 사망…""뱃속에서 코로나 감염""",JTBC,./articles/CBMiNGh0dHBzOi8vbmV3cy5qdGJjLmpvaW5zLmNvbS9odG1sLzcyMi9OQjExOTkyNzIyLmh0bWzSAQA?hl=ko&gl=KR&ceid=KR%3Ako
'조선인이 우물에 독 탔다' 7.3 강진 덮친 日에 퍼진 가짜뉴스…자정 촉구 목소리도,아시아경제,./articles/CBMiQGh0dHBzOi8vY20uYXNpYWUuY28ua3IvcmFua2luZy12aWV3LzIwMjEwMjE2LzIwMjEwMjE1MTcyODUwMjE0ODHSATlodHRwczovL2NtLmFzaWFlLmNvLmtyL2FtcHZpZXcuaHRtP25vPTIwMjEwMjE1MTcyODUwMjE0ODE?hl=ko&gl=KR&ceid=KR%3Ako
"[영상] ""재개 꿈 접어야 하냐"" 개성공단 기업들의 외침 / YTN",YTN news,./articles/CCAiC3h1V1VTWHlERWJFmAEB?hl=ko&gl=KR&ceid=KR%3Ako
화이자는 이렇게 많은 부작용 없었다…프랑스 아스트라 접종 중단 - 매일경제,매일경제,./articles/CAIiECJjtpUhiVEtR7IzyGM2cQgqGQgEKhAIACoHCAow2t-aCDDArqABMI6L7AU?hl=ko&gl=KR&ceid=KR%3Ako
